Date,Open,Close,Change,Quote,Low,High,Volume,Turnover,Rate
2009-03-13,3.95,3.87,-0.08,-2.03%,3.86,4.03,62936,2472.21,0.82%
2009-03-12,3.78,3.95,0.15,3.95%,3.72,3.98,98464,3805.99,1.29%
2009-03-11,3.86,3.80,-0.02,-0.52%,3.79,3.93,80731,3097.61,1.06%
2009-03-10,3.73,3.82,0.00,0.00%,3.63,3.84,109666,4104.65,1.44%
2009-03-09,3.90,3.82,0.04,1.06%,3.69,3.97,243189,9406.14,3.19%
2009-03-06,3.50,3.78,0.18,5.00%,3.50,3.78,209566,7818.37,2.75%
2009-03-05,3.58,3.60,0.06,1.69%,3.49,3.70,124231,4457.44,1.63%
2009-03-04,3.49,3.54,0.09,2.61%,3.46,3.58,125059,4410.08,1.64%
2009-03-03,3.22,3.45,0.06,1.77%,3.22,3.45,138510,4543.90,1.82%
2009-03-02,3.55,3.39,-0.18,-5.04%,3.39,3.55,99286,3392.51,1.30%
2009-02-27,3.60,3.57,-0.19,-5.05%,3.57,3.70,51390,1844.80,0.67%
2009-02-26,3.96,3.76,-0.20,-5.05%,3.76,4.02,117664,4531.41,1.54%
2009-02-25,4.05,3.96,-0.11,-2.70%,3.87,4.15,151582,6000.49,1.99%
2009-02-24,4.00,4.07,0.10,2.52%,3.92,4.17,206966,8477.67,2.71%
2009-02-23,3.97,3.97,0.19,5.03%,3.87,3.97,203931,8081.48,2.67%
2009-02-20,3.60,3.78,0.18,5.00%,3.53,3.78,137951,5132.60,1.81%
2009-02-19,3.43,3.60,0.14,4.05%,3.43,3.63,157814,5621.12,2.72%
2009-02-18,3.54,3.46,-0.18,-4.95%,3.46,3.61,151925,5354.02,2.61%
2009-02-17,3.60,3.64,0.02,0.55%,3.54,3.77,154690,5686.19,2.66%
2009-02-16,3.50,3.62,0.14,4.02%,3.40,3.64,168048,5940.28,2.89%
2009-02-13,3.43,3.48,0.04,1.16%,3.35,3.55,134482,4637.85,2.31%
2009-02-12,3.44,3.44,0.05,1.47%,3.22,3.50,154669,5173.48,2.66%
2009-02-11,3.42,3.39,-0.03,-0.88%,3.33,3.58,126265,4345.01,2.17%
2009-02-10,3.20,3.42,0.16,4.91%,3.16,3.42,146514,4855.06,2.52%
2009-02-09,3.28,3.26,0.09,2.84%,3.18,3.33,165018,5412.82,2.84%
2009-02-06,3.01,3.17,0.15,4.97%,3.00,3.17,139577,4391.37,2.40%
2009-02-05,2.94,3.02,0.09,3.07%,2.88,3.06,125239,3713.36,2.16%
2009-02-04,2.92,2.93,0.02,0.69%,2.89,2.97,77501,2264.96,1.33%
2009-02-03,2.88,2.91,0.06,2.11%,2.85,2.97,118309,3450.94,2.04%
2009-02-02,2.73,2.85,0.14,5.17%,2.67,2.85,137661,3889.78,2.37%
2009-01-23,2.73,2.71,-0.02,-0.73%,2.66,2.74,59557,1602.30,1.03%
2009-01-22,2.70,2.73,0.09,3.41%,2.65,2.77,133049,3629.65,2.29%
2009-01-21,2.57,2.64,0.05,1.93%,2.55,2.70,135352,3581.91,2.33%
2009-01-20,2.55,2.59,0.03,1.17%,2.51,2.61,45880,1180.14,0.79%
2009-01-19,2.54,2.56,0.03,1.19%,2.53,2.62,77721,2001.37,1.34%
2009-01-16,2.50,2.53,0.05,2.02%,2.50,2.60,82814,2115.88,1.43%
2009-01-15,2.46,2.48,0.02,0.81%,2.43,2.54,79462,1971.51,1.37%
2009-01-14,2.40,2.46,0.06,2.50%,2.39,2.47,46217,1128.19,0.80%
2009-01-13,2.41,2.40,-0.04,-1.64%,2.36,2.43,41765,999.34,0.72%
2009-01-12,2.42,2.44,0.00,0.00%,2.38,2.48,41354,1007.06,0.71%
