Date,Open,Close,Change,Quote,Low,High,Volume,Turnover,Rate
2009-12-15,5.29,5.29,-0.06,-1.12%,5.21,5.31,1310050,68934.09,4.65%
2009-12-14,5.47,5.35,-0.15,-2.73%,5.20,5.47,1307048,69096.05,4.64%
2009-12-11,5.68,5.50,-0.12,-2.14%,5.45,5.73,1049603,58460.27,3.73%
2009-12-10,5.62,5.62,0.06,1.08%,5.55,5.70,442081,24844.31,1.57%
2009-12-09,5.63,5.56,-0.15,-2.63%,5.51,5.69,401227,22493.89,1.42%
2009-12-08,5.82,5.71,-0.11,-1.89%,5.65,5.83,566194,32353.09,2.01%
2009-12-07,5.72,5.82,0.08,1.39%,5.68,5.84,724156,41827.21,2.57%
2009-12-04,5.65,5.74,0.07,1.23%,5.50,5.78,885702,50217.80,3.14%
2009-12-03,5.62,5.67,0.04,0.71%,5.49,5.73,706851,39627.51,2.51%
2009-12-02,5.63,5.63,0.01,0.18%,5.56,5.68,582213,32732.54,2.07%
2009-12-01,5.47,5.62,0.14,2.55%,5.37,5.64,576750,31972.65,2.05%
2009-11-30,5.35,5.48,0.18,3.40%,5.29,5.48,513630,27720.63,1.82%
2009-11-27,5.49,5.30,-0.31,-5.53%,5.29,5.55,517529,27904.54,1.84%
2009-11-26,5.92,5.61,-0.28,-4.75%,5.51,5.94,815539,46674.82,2.90%
2009-11-25,5.64,5.89,0.19,3.33%,5.46,5.90,989725,56456.71,3.51%
2009-11-24,5.65,5.70,0.08,1.42%,5.60,6.04,1481378,86269.62,5.26%
2009-11-23,5.59,5.62,0.05,0.90%,5.53,5.65,600127,33526.37,2.13%
2009-11-20,5.53,5.57,0.04,0.72%,5.44,5.62,557195,31007.16,1.98%
2009-11-19,5.44,5.53,0.11,2.03%,5.40,5.54,463720,25338.77,1.65%
2009-11-18,5.45,5.42,-0.02,-0.37%,5.36,5.48,373412,20195.27,1.33%
2009-11-17,5.49,5.44,0.01,0.18%,5.41,5.54,528185,28821.66,1.88%
2009-11-16,5.23,5.43,0.23,4.42%,5.22,5.45,877365,46899.43,3.12%
2009-11-13,5.19,5.20,-0.02,-0.38%,5.09,5.22,414083,21335.25,1.47%
2009-11-12,5.19,5.22,0.07,1.36%,5.15,5.27,451374,23521.04,1.60%
2009-11-11,5.22,5.15,-0.06,-1.15%,5.10,5.29,554857,28842.48,1.97%
2009-11-10,5.27,5.21,-0.02,-0.38%,5.19,5.31,637152,33457.26,2.26%
2009-11-09,5.17,5.23,0.08,1.55%,5.14,5.27,493698,25747.82,1.75%
2009-11-06,5.15,5.15,0.04,0.78%,5.13,5.25,554819,28738.54,1.97%
2009-11-05,5.07,5.11,0.03,0.59%,5.00,5.13,348962,17694.45,1.24%
2009-11-04,5.00,5.08,0.08,1.60%,4.96,5.12,356880,18032.66,1.27%
2009-11-03,4.92,5.00,0.10,2.04%,4.88,5.05,384612,19194.74,1.37%
2009-11-02,4.70,4.90,0.09,1.87%,4.66,4.91,273174,13104.88,0.97%
2009-10-30,4.88,4.81,0.02,0.42%,4.80,4.90,228793,11068.88,0.81%
2009-10-29,4.85,4.79,-0.15,-3.04%,4.78,4.86,205310,9900.67,0.73%
2009-10-28,4.95,4.94,-0.03,-0.60%,4.82,4.97,231514,11355.79,0.82%
2009-10-27,5.17,4.97,-0.24,-4.61%,4.96,5.17,342050,17277.93,1.21%
2009-10-26,5.15,5.21,0.07,1.36%,5.10,5.21,433087,22392.14,1.54%
2009-10-23,5.06,5.14,0.07,1.38%,5.06,5.24,394059,20273.12,1.40%
2009-10-22,5.12,5.07,-0.08,-1.55%,5.06,5.14,266959,13581.83,0.95%
2009-10-21,5.09,5.15,0.06,1.18%,5.03,5.23,530362,27202.39,1.88%
2009-10-20,5.09,5.09,0.00,0.00%,5.04,5.12,393533,19973.70,1.40%
2009-10-19,4.90,5.09,0.15,3.04%,4.88,5.11,555046,27927.88,1.97%
2009-10-16,4.96,4.94,-0.02,-0.40%,4.80,4.99,364094,17786.44,1.29%
